"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US02563","ZCTA5 02563","10070",
"860Z200US02564","ZCTA5 02564","703",
"860Z200US02568","ZCTA5 02568","8172",
"860Z200US02571","ZCTA5 02571","10858",
"860Z200US02575","ZCTA5 02575","3167",
"860Z200US02576","ZCTA5 02576","3957",
"860Z200US02584","ZCTA5 02584","35",
"860Z200US02601","ZCTA5 02601","16487",
"860Z200US02630","ZCTA5 02630","1956",
"860Z200US02631","ZCTA5 02631","10178",
"860Z200US02632","ZCTA5 02632","11475",
"860Z200US02633","ZCTA5 02633","4664",
"860Z200US02635","ZCTA5 02635","3632",
"860Z200US02637","ZCTA5 02637","267",
"860Z200US02638","ZCTA5 02638","2968",
"860Z200US02639","ZCTA5 02639","3238",
"860Z200US02641","ZCTA5 02641","332",
"860Z200US02642","ZCTA5 02642","5752",
"860Z200US02643","ZCTA5 02643","13",
"860Z200US02644","ZCTA5 02644","3954",
"860Z200US02645","ZCTA5 02645","10436",
"860Z200US02646","ZCTA5 02646","1926",
"860Z200US02647","ZCTA5 02647","136",
"860Z200US02648","ZCTA5 02648","7325",
"860Z200US02649","ZCTA5 02649","15060",
"860Z200US02650","ZCTA5 02650","829",
"860Z200US02652","ZCTA5 02652","1402",
"860Z200US02653","ZCTA5 02653","6307",
"860Z200US02655","ZCTA5 02655","3591",
"860Z200US02657","ZCTA5 02657","3664",
"860Z200US02659","ZCTA5 02659","1100",
"860Z200US02660","ZCTA5 02660","6662",
"860Z200US02663","ZCTA5 02663","257",
"860Z200US02664","ZCTA5 02664","9935",
"860Z200US02666","ZCTA5 02666","1052",
"860Z200US02667","ZCTA5 02667","3309",
"860Z200US02668","ZCTA5 02668","3222",
"860Z200US02670","ZCTA5 02670","1463",
"860Z200US02671","ZCTA5 02671","1216",
"860Z200US02672","ZCTA5 02672","297",
"860Z200US02673","ZCTA5 02673","8892",
"860Z200US02675","ZCTA5 02675","6712",
"860Z200US02702","ZCTA5 02702","4267",
"860Z200US02703","ZCTA5 02703","46389",
"860Z200US02713","ZCTA5 02713","39",
"860Z200US02715","ZCTA5 02715","4036",
"860Z200US02717","ZCTA5 02717","4951",
"860Z200US02718","ZCTA5 02718","6882",
"860Z200US02719","ZCTA5 02719","15924",
"860Z200US02720","ZCTA5 02720","31209",
"860Z200US02721","ZCTA5 02721","28075",
"860Z200US02723","ZCTA5 02723","16084",
"860Z200US02724","ZCTA5 02724","18050",
"860Z200US02725","ZCTA5 02725","2632",
"860Z200US02726","ZCTA5 02726","15671",
"860Z200US02738","ZCTA5 02738","5347",
"860Z200US02739","ZCTA5 02739","6508",
"860Z200US02740","ZCTA5 02740","45166",
"860Z200US02743","ZCTA5 02743","10434",
"860Z200US02744","ZCTA5 02744","13055",
"860Z200US02745","ZCTA5 02745","25336",
"860Z200US02746","ZCTA5 02746","17355",
"860Z200US02747","ZCTA5 02747","22326",
"860Z200US02748","ZCTA5 02748","11888",
"860Z200US02760","ZCTA5 02760","28716",
"860Z200US02762","ZCTA5 02762","9945",
"860Z200US02763","ZCTA5 02763","2118",
"860Z200US02764","ZCTA5 02764","4081",
"860Z200US02766","ZCTA5 02766","19202",
"860Z200US02767","ZCTA5 02767","15376",
"860Z200US02769","ZCTA5 02769","12521",
"860Z200US02770","ZCTA5 02770","5560",
"860Z200US02771","ZCTA5 02771","15512",
"860Z200US02777","ZCTA5 02777","17133",
"860Z200US02779","ZCTA5 02779","6764",
"860Z200US02780","ZCTA5 02780","52299",
"860Z200US02790","ZCTA5 02790","16458",
"860Z200US02791","ZCTA5 02791","312",
"860Z200US02861","ZCTA5 02861","27833",
