"GEO_ID","NAME","H1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US02145","ZCTA5 02145","12043",
"860Z200US02148","ZCTA5 02148","27724",
"860Z200US02149","ZCTA5 02149","18208",
"860Z200US02150","ZCTA5 02150","14526",
"860Z200US02151","ZCTA5 02151","24567",
"860Z200US02152","ZCTA5 02152","8821",
"860Z200US02155","ZCTA5 02155","25752",
"860Z200US02163","ZCTA5 02163","703",
"860Z200US02169","ZCTA5 02169","29828",
"860Z200US02170","ZCTA5 02170","8048",
"860Z200US02171","ZCTA5 02171","9127",
"860Z200US02176","ZCTA5 02176","12614",
"860Z200US02180","ZCTA5 02180","10159",
"860Z200US02184","ZCTA5 02184","15077",
"860Z200US02186","ZCTA5 02186","9850",
"860Z200US02188","ZCTA5 02188","6807",
"860Z200US02189","ZCTA5 02189","6432",
"860Z200US02190","ZCTA5 02190","8427",
"860Z200US02191","ZCTA5 02191","3753",
"860Z200US02199","ZCTA5 02199","1101",
"860Z200US02203","ZCTA5 02203","0",
"860Z200US02205","ZCTA5 02205","0",
"860Z200US02210","ZCTA5 02210","4836",
"860Z200US02215","ZCTA5 02215","10247",
"860Z200US02301","ZCTA5 02301","25269",
"860Z200US02302","ZCTA5 02302","12034",
"860Z200US02322","ZCTA5 02322","1833",
"860Z200US02324","ZCTA5 02324","9326",
"860Z200US02325","ZCTA5 02325","32",
"860Z200US02330","ZCTA5 02330","4701",
"860Z200US02332","ZCTA5 02332","6274",
"860Z200US02333","ZCTA5 02333","5197",
"860Z200US02338","ZCTA5 02338","3107",
"860Z200US02339","ZCTA5 02339","5268",
"860Z200US02341","ZCTA5 02341","3859",
"860Z200US02343","ZCTA5 02343","4400",
"860Z200US02346","ZCTA5 02346","9808",
"860Z200US02347","ZCTA5 02347","4624",
"860Z200US02350","ZCTA5 02350","101",
"860Z200US02351","ZCTA5 02351","6812",
"860Z200US02356","ZCTA5 02356","4784",
"860Z200US02357","ZCTA5 02357","4",
"860Z200US02359","ZCTA5 02359","7007",
"860Z200US02360","ZCTA5 02360","28074",
"860Z200US02364","ZCTA5 02364","5364",
"860Z200US02366","ZCTA5 02366","0",
"860Z200US02367","ZCTA5 02367","1068",
"860Z200US02368","ZCTA5 02368","12915",
"860Z200US02370","ZCTA5 02370","7263",
"860Z200US02375","ZCTA5 02375","4343",
"860Z200US02379","ZCTA5 02379","2896",
"860Z200US02382","ZCTA5 02382","5984",
"860Z200US02420","ZCTA5 02420","5411",
"860Z200US02421","ZCTA5 02421","6895",
"860Z200US02445","ZCTA5 02445","9576",
"860Z200US02446","ZCTA5 02446","15093",
"860Z200US02451","ZCTA5 02451","7737",
"860Z200US02452","ZCTA5 02452","5467",
"860Z200US02453","ZCTA5 02453","13313",
"860Z200US02457","ZCTA5 02457","22",
"860Z200US02458","ZCTA5 02458","5385",
"860Z200US02459","ZCTA5 02459","6877",
"860Z200US02460","ZCTA5 02460","3878",
"860Z200US02461","ZCTA5 02461","2865",
"860Z200US02462","ZCTA5 02462","571",
"860Z200US02464","ZCTA5 02464","1351",
"860Z200US02465","ZCTA5 02465","4525",
"860Z200US02466","ZCTA5 02466","3128",
"860Z200US02467","ZCTA5 02467","7260",
"860Z200US02468","ZCTA5 02468","1969",
"860Z200US02472","ZCTA5 02472","17035",
"860Z200US02474","ZCTA5 02474","12688",
"860Z200US02476","ZCTA5 02476","7773",
"860Z200US02478","ZCTA5 02478","10880",
"860Z200US02481","ZCTA5 02481","5192",
"860Z200US02482","ZCTA5 02482","4068",
"860Z200US02492","ZCTA5 02492","7465",
"860Z200US02493","ZCTA5 02493","4043",
"860Z200US02494","ZCTA5 02494","4426",
"860Z200US02532","ZCTA5 02532","6894",
"860Z200US02534","ZCTA5 02534","680",
"860Z200US02535","ZCTA5 02535","2052",
"860Z200US02536","ZCTA5 02536","12276",
"860Z200US02537","ZCTA5 02537","3238",
"860Z200US02538","ZCTA5 02538","2170",
"860Z200US02539","ZCTA5 02539","5234",
"860Z200US02540","ZCTA5 02540","7013",
"860Z200US02542","ZCTA5 02542","343",
"860Z200US02543","ZCTA5 02543","907",
"860Z200US02553","ZCTA5 02553","145",
"860Z200US02554","ZCTA5 02554","10884",
"860Z200US02556","ZCTA5 02556","2666",
"860Z200US02557","ZCTA5 02557","2604",
"860Z200US02558","ZCTA5 02558","1700",
"860Z200US02559","ZCTA5 02559","2636",
"860Z200US02561","ZCTA5 02561","377",
"860Z200US02562","ZCTA5 02562","1618",
"860Z200US02563","ZCTA5 02563","4760",
"860Z200US02564","ZCTA5 02564","1228",
"860Z200US02568","ZCTA5 02568","5371",
"860Z200US02571","ZCTA5 02571","5886",
"860Z200US02575","ZCTA5 02575","2051",
"860Z200US02576","ZCTA5 02576","1876",
"860Z200US02584","ZCTA5 02584","57",
"860Z200US02601","ZCTA5 02601","8750",
"860Z200US02630","ZCTA5 02630","1181",
"860Z200US02631","ZCTA5 02631","8160",
"860Z200US02632","ZCTA5 02632","6220",
"860Z200US02633","ZCTA5 02633","5204",
"860Z200US02635","ZCTA5 02635","2315",
"860Z200US02637","ZCTA5 02637","191",
"860Z200US02638","ZCTA5 02638","3031",
"860Z200US02639","ZCTA5 02639","5015",
"860Z200US02641","ZCTA5 02641","485",
"860Z200US02642","ZCTA5 02642","6105",
"860Z200US02643","ZCTA5 02643","38",
"860Z200US02644","ZCTA5 02644","1532",
"860Z200US02645","ZCTA5 02645","6448",
"860Z200US02646","ZCTA5 02646","2551",
"860Z200US02647","ZCTA5 02647","196",
"860Z200US02648","ZCTA5 02648","3271",
"860Z200US02649","ZCTA5 02649","10757",
"860Z200US02650","ZCTA5 02650","851",
"860Z200US02652","ZCTA5 02652","1659",
"860Z200US02653","ZCTA5 02653","5512",
"860Z200US02655","ZCTA5 02655","3214",
"860Z200US02657","ZCTA5 02657","4983",
"860Z200US02659","ZCTA5 02659","1256",
"860Z200US02660","ZCTA5 02660","4908",
"860Z200US02663","ZCTA5 02663","455",
"860Z200US02664","ZCTA5 02664","7182",
"860Z200US02666","ZCTA5 02666","1342",
"860Z200US02667","ZCTA5 02667","3808",
"860Z200US02668","ZCTA5 02668","1521",
"860Z200US02670","ZCTA5 02670","2336",
"860Z200US02671","ZCTA5 02671","1583",
"860Z200US02672","ZCTA5 02672","321",
"860Z200US02673","ZCTA5 02673","6394",
"860Z200US02675","ZCTA5 02675","3994",
"860Z200US02702","ZCTA5 02702","1590",
"860Z200US02703","ZCTA5 02703","19057",
"860Z200US02713","ZCTA5 02713","171",
"860Z200US02715","ZCTA5 02715","1434",
"860Z200US02717","ZCTA5 02717","1897",
"860Z200US02718","ZCTA5 02718","2603",
"860Z200US02719","ZCTA5 02719","7670",
"860Z200US02720","ZCTA5 02720","14727",
"860Z200US02721","ZCTA5 02721","13035",
"860Z200US02723","ZCTA5 02723","7664",
"860Z200US02724","ZCTA5 02724","8719",
"860Z200US02725","ZCTA5 02725","1022",
"860Z200US02726","ZCTA5 02726","6426",
"860Z200US02738","ZCTA5 02738","2692",
"860Z200US02739","ZCTA5 02739","3512",
"860Z200US02740","ZCTA5 02740","20524",
"860Z200US02743","ZCTA5 02743","4242",
"860Z200US02744","ZCTA5 02744","5469",
"860Z200US02745","ZCTA5 02745","11143",
"860Z200US02746","ZCTA5 02746","7401",
"860Z200US02747","ZCTA5 02747","7590",
"860Z200US02748","ZCTA5 02748","5730",
"860Z200US02760","ZCTA5 02760","11739",
"860Z200US02762","ZCTA5 02762","4394",
"860Z200US02763","ZCTA5 02763","812",
"860Z200US02764","ZCTA5 02764","1548",
"860Z200US02766","ZCTA5 02766","6971",
"860Z200US02767","ZCTA5 02767","5824",
"860Z200US02769","ZCTA5 02769","4613",
"860Z200US02770","ZCTA5 02770","2049",
"860Z200US02771","ZCTA5 02771","6055",
"860Z200US02777","ZCTA5 02777","6903",
"860Z200US02779","ZCTA5 02779","2360",
"860Z200US02780","ZCTA5 02780","22285",
"860Z200US02790","ZCTA5 02790","7640",
"860Z200US02791","ZCTA5 02791","318",
"860Z200US02861","ZCTA5 02861","12074",
