CITY_NAME,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Freeport Village,43064.0,72.0,0.0,1.0,23.0,48.0,428.0,45.0,361.0,22.0,0.0
Friendship Town,1869.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0
Galway Village,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden City Village,22514.0,9.0,0.0,0.0,3.0,6.0,267.0,25.0,234.0,8.0,1.0
Gates Town,28366.0,55.0,0.0,11.0,11.0,33.0,776.0,66.0,669.0,41.0,2.0
Geddes Town,10038.0,4.0,0.0,0.0,2.0,2.0,162.0,22.0,135.0,5.0,0.0
Geneseo Village,8158.0,3.0,0.0,3.0,0.0,0.0,83.0,7.0,76.0,0.0,1.0
Geneva,12708.0,20.0,0.0,8.0,4.0,8.0,234.0,47.0,185.0,2.0,1.0
Glen Cove,27228.0,5.0,0.0,0.0,4.0,1.0,84.0,5.0,77.0,2.0,0.0
Glen Park Village,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glens Falls,14306.0,28.0,0.0,8.0,1.0,19.0,100.0,18.0,80.0,2.0,1.0
Glenville Town,21634.0,12.0,0.0,5.0,0.0,7.0,309.0,23.0,281.0,5.0,0.0
Gloversville,14738.0,66.0,0.0,24.0,2.0,40.0,401.0,36.0,349.0,16.0,1.0
Goshen Town,8798.0,2.0,0.0,0.0,0.0,2.0,27.0,3.0,23.0,1.0,0.0
Goshen Village,5337.0,2.0,0.0,0.0,0.0,2.0,29.0,5.0,23.0,1.0,0.0
Gowanda Village,2575.0,4.0,0.0,0.0,0.0,4.0,26.0,2.0,24.0,0.0,0.0
Granville Village,2422.0,3.0,0.0,0.0,1.0,2.0,12.0,3.0,9.0,0.0,0.0
Great Neck Estates Village,2884.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,3.0,0.0
Greece Town,95777.0,167.0,0.0,27.0,43.0,97.0,1847.0,194.0,1576.0,77.0,2.0
Greenburgh Town,45040.0,43.0,0.0,8.0,8.0,27.0,438.0,22.0,403.0,13.0,0.0
Greene Village,1415.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,16.0,1.0,0.0
Greenport Town,4286.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,55.0,1.0,0.0
Greenwich Village,1708.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,13.0,0.0,0.0
Greenwood Lake Village,3074.0,2.0,0.0,0.0,0.0,2.0,7.0,2.0,5.0,0.0,0.0
